%time x_sig v_sig adc_sig k_sig
0.01439 -1.19291490029e-05 0.00629579107983 1 6
0.0144 -1.18042260652e-05 0.0124922937734 2 6
0.01441 -1.16193082099e-05 0.0184917855317 4 6
0.01442 -1.1377311702e-05 0.0241996507856 5 6
0.01443 -1.10820529711e-05 0.0295258730905 6 6
0.01444 -1.07381884237e-05 0.0343864547388 7 6
0.01445 -1.03511410092e-05 0.0387047414545 7 6
0.01446 -9.92701469641e-06 0.0424126312763 8 6
0.01447 -9.47249821074e-06 0.0454516485668 9 6
0.01448 -8.99475954866e-06 0.0477738662079 9 6
0.01449 -8.50133293426e-06 0.0493426614402 9 6
0.0145 -8e-06 0.0501332934257 10 6
0.01451 -7.49866706574e-06 0.0501332934257 10 6
0.01452 -7.00524045134e-06 0.0493426614402 9 6
0.01453 -6.52750178926e-06 0.0477738662079 9 6
0.01454 -6.07298530359e-06 0.0454516485668 9 6
0.01455 -5.64885899083e-06 0.0424126312763 8 6
0.01456 -5.26181157629e-06 0.0387047414545 7 6
0.01457 -4.9179470289e-06 0.0343864547388 7 6
0.01458 -4.62268829799e-06 0.0295258730905 6 6
0.01459 -4.38069179014e-06 0.0241996507856 5 6
0.0146 -4.19577393482e-06 0.0184917855317 4 6
0.01461 -4.07085099709e-06 0.0124922937734 2 6
0.01462 -4.00789308629e-06 0.00629579107983 1 6
0.01463 -4.00789308629e-06 -2.54109884176e-16 0 6
0.01464 -4.07085099709e-06 -0.00629579107983 -1 6
0.01465 -4.19577393482e-06 -0.0124922937734 -2 6
0.01466 -4.38069179014e-06 -0.0184917855317 -4 6
0.01467 -4.62268829799e-06 -0.0241996507856 -5 6
0.01468 -4.9179470289e-06 -0.0295258730905 -6 6
0.01469 -5.26181157629e-06 -0.0343864547388 -7 6
0.0147 -5.64885899083e-06 -0.0387047414545 -7 6
0.01471 -6.07298530359e-06 -0.0424126312763 -8 6
0.01472 -6.52750178926e-06 -0.0454516485668 -9 6
0.01473 -7.00524045134e-06 -0.0477738662079 -9 6
0.01474 -7.49866706574e-06 -0.0493426614402 -9 6
0.01475 -8e-06 -0.0501332934257 -10 6
0.01476 -8.50133293426e-06 -0.0501332934257 -10 6
0.01477 -8.99475954866e-06 -0.0493426614402 -9 6
0.01478 -9.47249821074e-06 -0.0477738662079 -9 6
0.01479 -9.92701469641e-06 -0.0454516485668 -9 6
0.0148 -1.03511410092e-05 -0.0424126312763 -8 6
